query_no,latency,aqp_std,true_std,true_aggregate,count
5,0.012752691000000205,6462195.018296488,5103772.479092589,3526293.9,4772
5,0.012752691000000205,6735565.577891723,5329201.820512105,3860689.8,5246
5,0.012752691000000205,6762068.987819627,5291416.19086791,3828204.1,5232
5,0.012752691000000205,6766980.378188208,5364566.541841685,3878526.7,5225
5,0.012752691000000205,6894453.901016958,5462741.7930899365,4050338.3,5495
5,0.012752691000000205,6698258.988712805,5182104.295059638,3715617.0,5139
5,0.012752691000000205,6450873.136375879,5025447.237546699,3452823.8,4719
5,0.012752691000000205,6440307.645968473,5097359.2576781195,3526654.0,4785
5,0.012752691000000205,6264560.186443095,5052327.069189716,3400274.6,4528
5,0.012752691000000205,6279476.737834766,5076510.649837832,3448107.8,4612
5,0.012752691000000205,6394409.285277894,4937291.07349816,3373499.5,4667
5,0.012752691000000205,6104487.50114473,4661068.820087284,2986379.8,4104
5,0.012752691000000205,6112067.909049445,4845739.514759281,3206369.8,4377
5,0.012752691000000205,6015336.806475923,4595891.094814846,2917595.9,4029
6,0.020541660999999767,1080946.8408030213,1220233.540765562,124438.8,104
6,0.020541660999999767,1011393.1516298365,876754.3907614492,64426.6,54
6,0.020541660999999767,862367.7438507872,910840.2359200037,69961.8,59
6,0.020541660999999767,2418330.876539851,2466646.4094391554,503107.8,416
6,0.020541660999999767,4622287.585073871,4543823.455766782,1715978.0,1426
6,0.020541660999999767,2475620.749156662,2401414.5368935717,479088.6,398
6,0.020541660999999767,908390.9443774831,963996.1251256997,76512.6,63
6,0.020541660999999767,3436511.8919968833,3439437.6852801302,983140.0,817
6,0.020541660999999767,3232913.961237295,3172776.6608909364,835257.1,693
6,0.020541660999999767,1437203.1377377347,1273461.1915298754,134769.3,112
6,0.020541660999999767,726961.9736568953,745308.9488423964,46542.5,39
6,0.020541660999999767,745521.0245892606,798768.7743354467,52982.5,44
6,0.020541660999999767,3409667.2559776264,3285202.2829331765,894909.7,742
6,0.020541660999999767,1156401.3725382823,1107933.8219305414,102744.2,86
6,0.020541660999999767,544912.0006853503,501319.5066421385,20666.8,17
6,0.020541660999999767,1734562.3159911635,1635889.404316288,221903.2,184
6,0.020541660999999767,1377679.7518359667,1470729.6328241713,178921.2,148
6,0.020541660999999767,1800409.1606215157,1731866.7683352025,248570.5,206
6,0.020541660999999767,1643250.7087052134,1680077.4702020327,234008.3,194
6,0.020541660999999767,510867.2445621872,513224.884383534,21157.9,17
6,0.020541660999999767,2209927.121324083,2209383.3205782585,404388.1,335
6,0.020541660999999767,1989624.1724324173,2074481.110749688,355702.7,294
6,0.020541660999999767,2156385.7528268206,2152185.059488426,383189.7,317
6,0.020541660999999767,654389.4525018848,638131.1425262769,33765.5,28
6,0.020541660999999767,701571.5461859731,732647.1622111581,44563.5,37
6,0.020541660999999767,2338770.79517286,2283545.5524393828,432676.1,359
6,0.020541660999999767,528990.8855590479,566984.3627077928,26592.3,22
6,0.020541660999999767,823242.5107012197,788275.9897660759,51084.0,42
6,0.020541660999999767,614592.6520894739,624490.5388229551,32447.8,27
6,0.020541660999999767,1906978.2838131643,1918453.77658326,305150.7,253
6,0.020541660999999767,1015722.005898813,1022999.4054801207,87403.4,73
6,0.020541660999999767,2217178.2876163805,2321130.2056566025,447087.3,371
6,0.020541660999999767,2765421.7989064534,2793837.688239663,647438.7,537
6,0.020541660999999767,1814402.1206761873,1862213.5990713902,287892.7,239
6,0.020541660999999767,1108987.8864541303,1022125.6847868746,86728.5,72
6,0.020541660999999767,1369818.9678545005,1375836.827279165,157471.1,131
6,0.020541660999999767,2270562.2883100444,2216755.9141134764,406342.8,336
6,0.020541660999999767,854497.3136033647,862460.4561773468,61590.2,51
6,0.020541660999999767,777095.935991655,786965.4807526657,51602.8,43
6,0.020541660999999767,969971.2424356972,1022245.1728953258,86738.9,72
6,0.020541660999999767,491787.6326685744,543144.9721392153,24288.3,20
6,0.020541660999999767,1859315.6149305985,1911466.797196195,303437.8,252
6,0.020541660999999767,4490938.934694614,4452068.802426618,1646774.4,1368
6,0.020541660999999767,1814536.452448428,1806601.4772931125,271592.7,226
6,0.020541660999999767,2344507.473596426,2369258.1516574826,467898.2,390
6,0.020541660999999767,340724.6189660067,392490.93108509947,12408.5,10
6,0.020541660999999767,378307.8881755755,370701.4307289833,11117.6,9
6,0.020541660999999767,1875274.0361878779,1808378.139796817,270049.3,223
6,0.020541660999999767,1137483.6530018311,1068910.1409847147,95004.8,79
6,0.020541660999999767,302671.1469594844,236336.56659095729,4726.1,4
6,0.020541660999999767,426129.171330725,506404.341065979,21483.3,18
7,0.014730775999999945,2.6062868411569515,1.7901660878547423,1201.7404494382022472,178
7,0.014730775999999945,0.7914678593672477,0.7262141149320352,1205.4464044253226798,1627
7,0.014730775999999945,7.581757433409968,14.456433626015476,1227.7823529411764706,17
7,0.014730775999999945,1.637429833208486,1.5584538778695376,1206.4544334975369458,406
7,0.014730775999999945,1.8358437583979295,1.6941073415362318,1204.9363295880149813,267
7,0.014730775999999945,1.2560873227227152,1.8314043649388678,1207.7781874039938556,651
7,0.014730775999999945,3.627181876948548,2.3082833378954914,1203.0781250000000000,64
7,0.014730775999999945,0.7424927630097853,0.6552429548095995,1204.8747713824636902,1859
7,0.014730775999999945,1.2492917541931825,0.9261486630706216,1204.5644793152639087,701
7,0.014730775999999945,2.9629104850361405,1.9826375419633973,1203.5722689075630252,119
7,0.014730775999999945,1.9029965919501448,1.5173580108586648,1205.7820754716981132,318
7,0.014730775999999945,3.2403312498350183,3.4147747650961833,1207.8532608695652174,92
7,0.014730775999999945,2.022683044768591,1.9325824964562077,1205.1731225296442688,253
7,0.014730775999999945,1.1613401792994364,1.1616889791747114,1205.6641460234680574,767
7,0.014730775999999945,5.919605800054919,5.975684479124939,1205.8034482758620690,29
7,0.014730775999999945,1.1255029449709602,0.9921938428228675,1206.1863145258103241,833
7,0.014730775999999945,2.291086217003195,1.866689332164872,1203.5927083333333333,192
7,0.014730775999999945,1.0750376918480515,1.0658491225862599,1205.9974585635359116,905
7,0.014730775999999945,2.211139292091321,2.2529575168284826,1207.2028169014084507,213
7,0.014730775999999945,6.573635076425466,2.802803131153112,1199.5407407407407407,27
7,0.014730775999999945,0.8551020953190239,0.7377018638122983,1204.3560846560846561,1512
7,0.014730775999999945,0.9132165701589813,0.9556584947740344,1206.1476520400307929,1299
7,0.014730775999999945,5.440828980828627,8.979485944480945,1220.7028571428571429,35
7,0.014730775999999945,0.6312960315626911,0.6245752085586654,1205.8254641909814324,2639
7,0.014730775999999945,1.6247112680415614,1.3316010773982514,1204.9165071770334928,418
7,0.014730775999999945,2.324448637535813,2.2445152098905683,1204.7598958333333333,192
8,0.035039055000000374,3019.0790752502776,3021.451047261895,913,913
8,0.035039055000000374,2842.1403330171092,2778.381546152364,772,772
8,0.035039055000000374,2416.329921421713,2347.2742487830433,551,551
8,0.035039055000000374,6794.825520019151,6715.626691232918,4512,4512
8,0.035039055000000374,12963.032426234038,12964.818372464768,16837,16837
8,0.035039055000000374,6929.792160704664,6911.379106878742,4779,4779
8,0.035039055000000374,2543.1081760833486,2535.6629411260483,643,643
8,0.035039055000000374,159.46933485188558,223.60674184827255,5,5
8,0.035039055000000374,9640.32327007696,9652.100516208893,9325,9325
8,0.035039055000000374,9016.125729568512,8993.0243613592,8094,8094
8,0.035039055000000374,4019.9018267690612,4056.7586425618174,1646,1646
8,0.035039055000000374,2038.3848674290539,2147.041564339172,461,461
8,0.035039055000000374,2104.048132393409,2090.408819106923,437,437
8,0.035039055000000374,9519.643049405076,9474.137836447178,8984,8984
8,0.035039055000000374,3239.7978247153383,3158.956156074345,998,998
8,0.035039055000000374,1504.41386192617,1445.668122011411,209,209
8,0.035039055000000374,4855.611790962337,4863.57913927593,2366,2366
8,0.035039055000000374,3890.670565506525,3848.0912981632855,1481,1481
8,0.035039055000000374,5054.885334216842,4986.362886012208,2487,2487
8,0.035039055000000374,4602.828581759692,4579.91248781022,2098,2098
8,0.035039055000000374,1456.5277617166055,1466.272067182622,215,215
8,0.035039055000000374,6192.725593872704,6135.618733591585,3766,3766
8,0.035039055000000374,5612.6893254717115,5582.139760969802,3117,3117
8,0.035039055000000374,6024.052600368771,6005.579267314685,3608,3608
8,0.035039055000000374,1824.12401560022,1819.3104295309254,331,331
8,0.035039055000000374,1947.721900392673,1959.5541697028946,384,384
8,0.035039055000000374,6551.435266724158,6580.367297955336,4332,4332
8,0.035039055000000374,1477.5385286589758,1445.668122011411,209,209
